Nome do Bot;;;Data;Mês;Semana;Competição;Evento;Tempo;Odd Entrada;Odd Pre Casa;Odd Pre Visitante;Liquidez;Lucro;Green/Rede;Probabilidade;Green;Rede;Previsão;ROI
Under 2.5 *;2023-01-04T17:33:46.431Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Italian Serie A;US Cremonese v Juventus;1;1,72;4,95;1,88;R$ 515.948,00;R$ 14,13;Green;58,14%;R$ 14,13;R$ 0,00;R$ 36,00;28,26%
Lay Empate*;2023-01-04T18:55:41.249Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Italian Serie A;US Cremonese v Juventus;65;1,98;4,95;1,88;R$ 12.114.488,00;-R$ 5,93;Red;50,51%;R$ 0,00;-R$ 5,93;R$ 49,00;-11,86%
Under 2.5 *;2023-01-04T18:06:16.227Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Spanish Copa del Rey;UD Logrones v Real Sociedad;6;1,79;13,55;1,35;R$ 46.811,00;R$ 14,30;Green;55,87%;R$ 14,30;R$ 0,00;R$ 39,50;28,60%
Under 2.5 *;2023-01-04T13:36:22.288Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Italian Serie A;Torino v Verona;2;1,76;1,72;5,73;R$ 124.275,00;R$ 14,16;Green;56,82%;R$ 14,16;R$ 0,00;R$ 38,00;28,32%
Under 2.5 *;2023-01-04T19:33:11.581Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;English Premier League;Southampton v Nottm Forest;2;1,7;2,4;3,33;R$ 349.023,00;-R$ 10,28;Red;58,82%;R$ 0,00;-R$ 10,28;R$ 35,00;-20,56%
Under 2.5 *;2023-01-04T15:34:24.175Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Italian Serie A;Roma v Bologna;2;1,7;1,72;5,73;R$ 253.991,00;-R$ 17,81;Red;58,82%;R$ 0,00;-R$ 17,81;R$ 35,00;-35,62%
Lay Empate*;2023-01-04T13:54:52.876Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Greek Super League 2;Proodeftiki v Panachaiki;52;1,98;4,69;2,14;R$ 18.518,00;-R$ 6,90;Red;50,51%;R$ 0,00;-R$ 6,90;R$ 49,00;-13,80%
Under 2.5 *;2023-01-04T18:05:16.254Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Spanish Copa del Rey;Pontevedra CF v Mallorca;2;1,69;4,51;1,99;R$ 12.332,00;R$ 14,00;Green;59,17%;R$ 14,00;R$ 0,00;R$ 34,50;28,00%
Under 2.5 *;2023-01-04T16:03:53.371Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Greek Super League;Panaitolikos v Atromitos;2;1,76;2,29;3,54;R$ 168.891,00;R$ 14,62;Green;56,82%;R$ 14,62;R$ 0,00;R$ 38,00;29,24%
Under 2.5 *;2023-01-04T19:05:11.643Z;04/01/2023;04/01/2023;janeiro ;quarta-feira;Spanish Copa del Rey;Oviedo v Atletico Madrid;4;1,71;8,86;1,51;R$ 25.290,00;-R$ 8,49;Red;58,48%;R$ 0,00;-R$ 8,49;R$ 35,50;-16,98%
